Date,Amgen Inc. (AMGN),Teva Pharmaceutical Industries Limited (TEVA),Medtronic plc (MDT),Novartis AG (NVS),UnitedHealth Group Incorporated (UNH)
10/1/2015,135.009022,56.007671,66.959441,85.346346,113.699799
9/30/2015,133.170145,54.054582,65.530191,85.364916,113.114775
9/29/2015,128.837687,52.733378,64.972196,83.136066,111.369447
9/28/2015,127.316511,54.475839,63.161152,83.423964,109.887377
9/25/2015,133.372318,56.811884,65.128822,84.798416,113.465791
9/24/2015,138.166901,58.353292,66.939858,85.253478,118.067989
9/23/2015,140.294626,59.157505,67.830696,85.819978,120.203336
9/22/2015,140.496799,60.057456,68.290797,86.210025,119.862073
9/21/2015,141.613614,60.143622,68.388159,89.023946,120.846869
9/18/2015,144.983304,60.660617,68.47579,89.757609,119.413554
9/17/2015,148.179703,61.646734,68.943131,90.974187,120.183839
9/16/2015,145.551334,61.828641,68.271328,90.760593,118.126497
9/15/2015,146.475598,62.412653,68.086335,89.50686,117.034446
9/14/2015,145.378043,60.794652,66.917975,88.801063,114.860103
9/11/2015,147.505768,60.947835,68.057127,89.664742,115.737636
9/10/2015,147.438367,59.396854,68.164227,89.404704,113.855802
9/9/2015,145.455066,59.75109,67.755295,88.977508,112.207984
9/8/2015,148.805496,60.660617,68.9334,89.376844,112.705252
9/4/2015,141.546228,60.737207,67.161384,87.807368,109.084009
9/3/2015,143.673938,61.38824,68.135019,88.559602,110.666482
9/2/2015,146.620008,62.077559,69.663627,88.782485,110.89949
9/1/2015,141.969849,60.488285,67.696879,87.928094,109.346134
8/31/2015,146.129001,61.665886,70.384115,90.286961,112.326624
8/28/2015,150.08598,62.259467,71.620629,91.336374,113.860559
8/27/2015,149.922311,62.422222,71.581683,91.605695,114.33627
8/26/2015,148.247089,62.058414,70.33543,90.203375,110.151936
8/25/2015,139.78436,61.474402,68.03765,88.35529,106.773403
8/24/2015,142.14314,61.742472,69.040501,88.048821,107.21028
8/21/2015,149.412045,64.068945,72.311909,90.602711,112.889715
8/20/2015,155.150137,65.323138,74.473381,93.472358,116.297379
8/19/2015,160.368355,66.606046,75.427548,95.654771,119.627373
8/18/2015,161.475533,66.089051,76.031197,95.859083,121.840896
8/17/2015,163.468456,66.146496,76.664061,95.924091,120.209878
8/14/2015,161.475533,65.755883,75.534648,95.171857,117.491512
